athlets_code,name,name_short,name_tv,gender,country_code,country_long,disciplines,events
1532872,ALEKSANYAN Artur,ALEKSANYAN A,Artur ALEKSANYAN,Male,ARM,Armenia,['Wrestling'],"[""Men's Greco-Roman 97kg""]"
1532873,AMOYAN Malkhas,AMOYAN M,Malkhas AMOYAN,Male,ARM,Armenia,['Wrestling'],"[""Men's Greco-Roman 77kg""]"
1532874,GALSTYAN Slavik,GALSTYAN S,Slavik GALSTYAN,Male,ARM,Armenia,['Wrestling'],"[""Men's Greco-Roman 67kg""]"
1532944,HARUTYUNYAN Arsen,HARUTYUNYAN A,Arsen HARUTYUNYAN,Male,ARM,Armenia,['Wrestling'],"[""Men's Freestyle 57kg""]"
1532945,TEVANYAN Vazgen,TEVANYAN V,Vazgen TEVANYAN,Male,ARM,Armenia,['Wrestling'],"[""Men's Freestyle 65kg""]"
1532951,ARENAS Lorena,ARENAS L,Lorena ARENAS,Female,COL,Colombia,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']"
1533112,McKENZIE Ashley,McKENZIE A,Ashley McKENZIE,Male,JAM,Jamaica,['Judo'],['Men -60 kg']
1533136,BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Gina Mariam BASS BITTAYE,Female,GAM,Gambia,['Athletics'],"[""Women's 100m"", ""Women's 200m""]"
1533176,CAMARA Ebrahima,CAMARA E,Ebrahima CAMARA,Male,GAM,Gambia,['Athletics'],"[""Men's 100m""]"
1533188,RUEDA SANTOS Lizeth,RUEDA SANTOS L,Lizeth RUEDA SANTOS,Female,MEX,Mexico,['Triathlon'],"[""Women's Individual""]"
1533189,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,MEX,Mexico,['Triathlon'],"[""Women's Individual""]"
1533190,GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,MEX,Mexico,['Triathlon'],"[""Men's Individual""]"
1533208,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,COM,Comoros,['Athletics'],"[""Men's 100m""]"
1533209,SAADI Maesha,SAADI M,Maesha SAADI,Female,COM,Comoros,['Swimming'],"[""Women's 50m Freestyle""]"
1533230,DIOSDADO Nuria,DIOSDADO N,Nuria DIOSDADO,Female,MEX,Mexico,['Artistic Swimming'],"['Team', 'Duet']"
1533231,JIMENEZ Joana,JIMENEZ J,Joana JIMENEZ,Female,MEX,Mexico,['Artistic Swimming'],"['Team', 'Duet']"
1533232,SOBRINO Jessica,SOBRINO J,Jessica SOBRINO,Female,MEX,Mexico,['Artistic Swimming'],['Team']
