event,sport,sport_code
Men's Individual,Archery,ARC
Women's Individual,Archery,ARC
Men's Team,Archery,ARC
Women's Team,Archery,ARC
Mixed Team,Archery,ARC
Men's Team,Artistic Gymnastics,GAR
Men's All-Around,Artistic Gymnastics,GAR
Men's Floor Exercise,Artistic Gymnastics,GAR
Men's Pommel Horse,Artistic Gymnastics,GAR
Men's Rings,Artistic Gymnastics,GAR
Men's Vault,Artistic Gymnastics,GAR
Men's Parallel Bars,Artistic Gymnastics,GAR
Men's Horizontal Bar,Artistic Gymnastics,GAR
Women's Team,Artistic Gymnastics,GAR
Women's All-Around,Artistic Gymnastics,GAR
Women's Vault,Artistic Gymnastics,GAR
Women's Uneven Bars,Artistic Gymnastics,GAR
Women's Balance Beam,Artistic Gymnastics,GAR
Women's Floor Exercise,Artistic Gymnastics,GAR
Duet,Artistic Swimming,SWA
Team,Artistic Swimming,SWA
Men's 100m,Athletics,ATH
Men's 200m,Athletics,ATH
Men's 400m,Athletics,ATH
Men's 800m,Athletics,ATH
Men's 1500m,Athletics,ATH
Men's 5000m,Athletics,ATH
"Men's 10,000m",Athletics,ATH
Men's Marathon,Athletics,ATH
Men's 3000m Steeplechase,Athletics,ATH
Men's 110m Hurdles,Athletics,ATH
Men's 400m Hurdles,Athletics,ATH
Men's High Jump,Athletics,ATH
Men's Pole Vault,Athletics,ATH
Men's Long Jump,Athletics,ATH
Men's Triple Jump,Athletics,ATH
Men's Shot Put,Athletics,ATH
Men's Discus Throw,Athletics,ATH
Men's Hammer Throw,Athletics,ATH
Men's Javelin Throw,Athletics,ATH
Men's Decathlon,Athletics,ATH
Men's 20km Race Walk,Athletics,ATH
Men's 4 x 100m Relay,Athletics,ATH
Men's 4 x 400m Relay,Athletics,ATH
Women's 100m,Athletics,ATH
Women's 200m,Athletics,ATH
Women's 400m,Athletics,ATH
Women's 800m,Athletics,ATH
Women's 1500m,Athletics,ATH
Women's 5000m,Athletics,ATH
"Women's 10,000m",Athletics,ATH
Women's Marathon,Athletics,ATH
Women's 3000m Steeplechase,Athletics,ATH
Women's 100m Hurdles,Athletics,ATH
Women's 400m Hurdles,Athletics,ATH
Women's High Jump,Athletics,ATH
Women's Pole Vault,Athletics,ATH
Women's Long Jump,Athletics,ATH
Women's Triple Jump,Athletics,ATH
Women's Shot Put,Athletics,ATH
Women's Discus Throw,Athletics,ATH
Women's Hammer Throw,Athletics,ATH
Women's Javelin Throw,Athletics,ATH
Women's Heptathlon,Athletics,ATH
Women's 20km Race Walk,Athletics,ATH
Women's 4 x 100m Relay,Athletics,ATH
Women's 4 x 400m Relay,Athletics,ATH
4 x 400m Relay Mixed,Athletics,ATH
Marathon Race Walk Relay Mixed,Athletics,ATH
Men's Singles,Badminton,BDM
Women's Singles,Badminton,BDM
Men's Doubles,Badminton,BDM
Women's Doubles,Badminton,BDM
Mixed Doubles,Badminton,BDM
Men,Basketball,BKB
Women,Basketball,BKB
Men,3x3 Basketball,BK3
Women,3x3 Basketball,BK3
Men,Beach Volleyball,VBV
Women,Beach Volleyball,VBV
Men's 51kg,Boxing,BOX
Men's 57kg,Boxing,BOX
Men's 63.5kg,Boxing,BOX
Men's 71kg,Boxing,BOX
Men's 80kg,Boxing,BOX
Men's 92kg,Boxing,BOX
Men's +92kg,Boxing,BOX
Women's 50kg,Boxing,BOX
Women's 54kg,Boxing,BOX
Women's 57kg,Boxing,BOX
Women's 60kg,Boxing,BOX
Women's 66kg,Boxing,BOX
Women's 75kg,Boxing,BOX
B-Boys,Breaking,BKG
B-Girls,Breaking,BKG
Men's Kayak Single,Canoe Slalom,CSL
Women's Kayak Single,Canoe Slalom,CSL
Men's Canoe Single,Canoe Slalom,CSL
