medal_date,medal_type,medal_code,name,gender,country_code,country_long,team_gender,discipline,event,event_type,birth_date,code_athlete,code_team,is_medallist
2024-07-27,Gold Medal,1,EVENEPOEL Remco,Male,BEL,Belgium,,Cycling Road,Men's Individual Time Trial,ATH,2000-01-25,1903136,,True
2024-07-27,Silver Medal,2,GANNA Filippo,Male,ITA,Italy,,Cycling Road,Men's Individual Time Trial,ATH,1996-07-25,1923520,,True
2024-07-27,Bronze Medal,3,van AERT Wout,Male,BEL,Belgium,,Cycling Road,Men's Individual Time Trial,ATH,1994-09-15,1903147,,True
2024-07-27,Gold Medal,1,BROWN Grace,Female,AUS,Australia,,Cycling Road,Women's Individual Time Trial,ATH,1992-07-07,1940173,,True
2024-07-27,Silver Medal,2,HENDERSON Anna,Female,GBR,Great Britain,,Cycling Road,Women's Individual Time Trial,ATH,1998-11-14,1912525,,True
2024-07-27,Bronze Medal,3,DYGERT Chloe,Female,USA,United States of America,,Cycling Road,Women's Individual Time Trial,ATH,1997-01-01,1955079,,True
2024-07-27,Gold Medal,1,OH Sanguk,Male,KOR,Republic of Korea,,Fencing,Men's Sabre Individual,HATH,1996-09-30,1927149,,True
2024-07-27,Silver Medal,2,FERJANI Fares,Male,TUN,Tunisia,,Fencing,Men's Sabre Individual,HATH,1997-07-22,1937783,,True
2024-07-27,Bronze Medal,3,SAMELE Luigi,Male,ITA,Italy,,Fencing,Men's Sabre Individual,HATH,1987-07-25,1924595,,True
2024-07-27,Gold Medal,1,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China",,Fencing,Women's Épée Individual,HATH,1994-02-08,1963262,,True
2024-07-27,Silver Medal,2,MALLO-BRETON Auriane,Female,FRA,France,,Fencing,Women's Épée Individual,HATH,1993-10-11,1916183,,True
2024-07-27,Bronze Medal,3,MUHARI Eszter,Female,HUN,Hungary,,Fencing,Women's Épée Individual,HATH,2002-09-30,1946375,,True
2024-07-27,Gold Medal,1,SMETOV Yeldos,Male,KAZ,Kazakhstan,,Judo,Men -60 kg,HATH,1992-09-09,1935408,,True
2024-07-27,Silver Medal,2,MKHEIDZE Luka,Male,FRA,France,,Judo,Men -60 kg,HATH,1996-01-05,1891304,,True
2024-07-27,Bronze Medal,3,NAGAYAMA Ryuju,Male,JPN,Japan,,Judo,Men -60 kg,HATH,1996-04-15,1896752,,True
2024-07-27,Bronze Medal,3,GARRIGOS Francisco,Male,ESP,Spain,,Judo,Men -60 kg,HATH,1994-12-09,1563544,,True
2024-07-27,Gold Medal,1,TSUNODA Natsumi,Female,JPN,Japan,,Judo,Women -48 kg,HATH,1992-08-06,1896735,,True
2024-07-27,Silver Medal,2,BAVUUDORJ Baasankhuu,Female,MGL,Mongolia,,Judo,Women -48 kg,HATH,1999-11-26,1914467,,True
2024-07-27,Bronze Medal,3,BOUKLI Shirine,Female,FRA,France,,Judo,Women -48 kg,HATH,1999-01-24,1891280,,True
2024-07-27,Bronze Medal,3,BABULFATH Tara,Female,SWE,Sweden,,Judo,Women -48 kg,HATH,2006-01-03,1571911,,True
2024-07-27,Gold Medal,1,MAERTENS Lukas,Male,GER,Germany,,Swimming,Men's 400m Freestyle,ATH,2001-12-27,1907192,,True
2024-07-27,Silver Medal,2,WINNINGTON Elijah,Male,AUS,Australia,,Swimming,Men's 400m Freestyle,ATH,2000-05-05,1946172,,True
2024-07-27,Bronze Medal,3,KIM Woomin,Male,KOR,Republic of Korea,,Swimming,Men's 400m Freestyle,ATH,2001-08-24,4654306,,True
2024-07-27,Gold Medal,1,TITMUS Ariarne,Female,AUS,Australia,,Swimming,Women's 400m Freestyle,ATH,2000-09-07,1946150,,True
2024-07-27,Silver Medal,2,McINTOSH Summer,Female,CAN,Canada,,Swimming,Women's 400m Freestyle,ATH,2006-08-18,1967140,,True
2024-07-27,Bronze Medal,3,LEDECKY Katie,Female,USA,United States of America,,Swimming,Women's 400m Freestyle,ATH,1997-03-17,1935938,,True
2024-07-28,Gold Medal,1,FOX Jessica,Female,AUS,Australia,,Canoe Slalom,Women's Kayak Single,ATH,1994-06-11,1940205,,True
2024-07-28,Silver Medal,2,ZWOLINSKA Klaudia,Female,POL,Poland,,Canoe Slalom,Women's Kayak Single,ATH,1998-12-18,1942126,,True
2024-07-28,Bronze Medal,3,WOODS Kimberley,Female,GBR,Great Britain,,Canoe Slalom,Women's Kayak Single,ATH,1995-09-08,1896045,,True
2024-07-28,Gold Medal,1,FERRAND PREVOT Pauline,Female,FRA,France,,Cycling Mountain Bike,Women's Cross-country,ATH,1992-02-10,1895672,,True
2024-07-28,Silver Medal,2,BATTEN Haley,Female,USA,United States of America,,Cycling Mountain Bike,Women's Cross-country,ATH,1998-09-19,1955070,,True
2024-07-28,Bronze Medal,3,RISSVEDS Jenny,Female,SWE,Sweden,,Cycling Mountain Bike,Women's Cross-country,ATH,1994-06-06,1564023,,True
2024-07-28,Gold Medal,1,KANO Koki,Male,JPN,Japan,,Fencing,Men's Épée Individual,HATH,1997-12-19,1896548,,True
2024-07-28,Silver Medal,2,BOREL Yannick,Male,FRA,France,,Fencing,Men's Épée Individual,HATH,1988-11-05,1916194,,True
2024-07-28,Bronze Medal,3,ELSAYED Mohamed,Male,EGY,Egypt,,Fencing,Men's Épée Individual,HATH,2003-03-03,1936462,,True
2024-07-28,Gold Medal,1,KIEFER Lee,Female,USA,United States of America,,Fencing,Women's Foil Individual,HATH,1994-06-15,1950611,,True
2024-07-28,Silver Medal,2,SCRUGGS Lauren,Female,USA,United States of America,,Fencing,Women's Foil Individual,HATH,2003-01-27,1950643,,True
2024-07-28,Bronze Medal,3,HARVEY Eleanor,Female,CAN,Canada,,Fencing,Women's Foil Individual,HATH,1995-01-14,1973213,,True
2024-07-28,Gold Medal,1,ABE Hifumi,Male,JPN,Japan,,Judo,Men -66 kg,HATH,1997-08-09,1896763,,True
2024-07-28,Silver Medal,2,LIMA Willian,Male,BRA,Brazil,,Judo,Men -66 kg,HATH,2000-01-31,1953840,,True
2024-07-28,Bronze Medal,3,KYRGYZBAYEV Gusman,Male,KAZ,Kazakhstan,,Judo,Men -66 kg,HATH,1992-09-28,1935410,,True
2024-07-28,Bronze Medal,3,VIERU Denis,Male,MDA,Republic of Moldova,,Judo,Men -66 kg,HATH,1996-03-10,1561138,,True
2024-07-28,Gold Medal,1,KELDIYOROVA Diyora,Female,UZB,Uzbekistan,,Judo,Women -52 kg,HATH,1998-07-13,1566997,,True
2024-07-28,Silver Medal,2,KRASNIQI Distria,Female,KOS,Kosovo,,Judo,Women -52 kg,HATH,1995-12-10,1550162,,True
2024-07-28,Bronze Medal,3,PIMENTA Larissa,Female,BRA,Brazil,,Judo,Women -52 kg,HATH,1999-03-01,1953817,,True
2024-07-28,Bronze Medal,3,BUCHARD Amandine,Female,FRA,France,,Judo,Women -52 kg,HATH,1995-07-12,1891283,,True
2024-07-28,Gold Medal,1,XIE Yu,Male,CHN,People's Republic of China,,Shooting,10m Air Pistol Men,ATH,2000-06-12,1913907,,True
2024-07-28,Silver Medal,2,MALDINI Federico Nilo,Male,ITA,Italy,,Shooting,10m Air Pistol Men,ATH,2001-03-28,1551388,,True
2024-07-28,Bronze Medal,3,MONNA Paolo,Male,ITA,Italy,,Shooting,10m Air Pistol Men,ATH,1998-04-19,1551387,,True
2024-07-28,Gold Medal,1,OH Ye Jin,Female,KOR,Republic of Korea,,Shooting,10m Air Pistol Women,ATH,2005-05-10,1893972,,True
2024-07-28,Silver Medal,2,KIM Yeji,Female,KOR,Republic of Korea,,Shooting,10m Air Pistol Women,ATH,1992-09-04,1893930,,True
2024-07-28,Bronze Medal,3,BHAKER Manu,Female,IND,India,,Shooting,10m Air Pistol Women,ATH,2002-02-18,1538159,,True
2024-07-28,Gold Medal,1,YOSHIZAWA Coco,Female,JPN,Japan,,Skateboarding,Women's Street,ATH,2009-09-22,1902055,,True
2024-07-28,Silver Medal,2,AKAMA Liz,Female,JPN,Japan,,Skateboarding,Women's Street,ATH,2009-01-08,1902069,,True
2024-07-28,Bronze Medal,3,LEAL Rayssa,Female,BRA,Brazil,,Skateboarding,Women's Street,ATH,2008-01-04,1955689,,True
2024-07-28,Gold Medal,1,MARTINENGHI Nicolo,Male,ITA,Italy,,Swimming,Men's 100m Breaststroke,ATH,1999-08-01,1925633,,True
2024-07-28,Silver Medal,2,PEATY Adam,Male,GBR,Great Britain,,Swimming,Men's 100m Breaststroke,ATH,1994-12-28,1956469,,True
2024-07-28,Silver Medal,2,FINK Nic,Male,USA,United States of America,,Swimming,Men's 100m Breaststroke,ATH,1993-07-03,1935901,,True
2024-07-28,Gold Medal,1,MARCHAND Leon,Male,FRA,France,,Swimming,Men's 400m Individual Medley,ATH,2002-05-17,1909294,,True
2024-07-28,Silver Medal,2,MATSUSHITA Tomoyuki,Male,JPN,Japan,,Swimming,Men's 400m Individual Medley,ATH,2005-08-01,1963635,,True
2024-07-28,Bronze Medal,3,FOSTER Carson,Male,USA,United States of America,,Swimming,Men's 400m Individual Medley,ATH,2001-10-26,1935903,,True
2024-07-28,Gold Medal,1,HUSKE Torri,Female,USA,United States of America,,Swimming,Women's 100m Butterfly,ATH,2002-12-07,1935923,,True
2024-07-28,Silver Medal,2,WALSH Gretchen,Female,USA,United States of America,,Swimming,Women's 100m Butterfly,ATH,2003-01-29,1935998,,True
2024-07-28,Bronze Medal,3,ZHANG Yufei,Female,CHN,People's Republic of China,,Swimming,Women's 100m Butterfly,ATH,1998-04-19,1945125,,True
2024-07-29,Gold Medal,1,GESTIN Nicolas,Male,FRA,France,,Canoe Slalom,Men's Canoe Single,ATH,2000-03-14,1880479,,True
2024-07-29,Silver Medal,2,BURGESS Adam,Male,GBR,Great Britain,,Canoe Slalom,Men's Canoe Single,ATH,1992-07-17,1896030,,True
2024-07-29,Bronze Medal,3,BENUS Matej,Male,SVK,Slovakia,,Canoe Slalom,Men's Canoe Single,ATH,1987-11-02,1961080,,True
2024-07-29,Gold Medal,1,PIDCOCK Thomas,Male,GBR,Great Britain,,Cycling Mountain Bike,Men's Cross-country,ATH,1999-07-30,1912546,,True
2024-07-29,Silver Medal,2,KORETZKY Victor,Male,FRA,France,,Cycling Mountain Bike,Men's Cross-country,ATH,1994-08-26,1895687,,True
2024-07-29,Bronze Medal,3,HATHERLY Alan,Male,RSA,South Africa,,Cycling Mountain Bike,Men's Cross-country,ATH,1996-03-15,1943604,,True
2024-07-29,Gold Medal,1,JUNG Michael,Male,GER,Germany,,Equestrian,Eventing Individual,ATH,1982-07-31,1914921,,True
2024-07-29,Silver Medal,2,BURTON Christopher,Male,AUS,Australia,,Equestrian,Eventing Individual,ATH,1981-11-22,1940438,,True
2024-07-29,Bronze Medal,3,COLLETT Laura,Female,GBR,Great Britain,,Equestrian,Eventing Individual,ATH,1989-08-31,1970898,,True
2024-07-29,Gold Medal,1,CHEUNG Ka Long,Male,HKG,"Hong Kong, China",,Fencing,Men's Foil Individual,HATH,1997-06-10,1963245,,True
2024-07-29,Silver Medal,2,MACCHI Filippo,Male,ITA,Italy,,Fencing,Men's Foil Individual,HATH,2001-09-19,1924289,,True
2024-07-29,Bronze Medal,3,ITKIN Nick,Male,USA,United States of America,,Fencing,Men's Foil Individual,HATH,1999-10-09,1950602,,True
2024-07-29,Gold Medal,1,APITHY-BRUNET Manon,Female,FRA,France,,Fencing,Women's Sabre Individual,HATH,1996-02-07,1916223,,True
2024-07-29,Silver Medal,2,BALZER Sara,Female,FRA,France,,Fencing,Women's Sabre Individual,HATH,1995-04-03,1916222,,True
2024-07-29,Bronze Medal,3,KHARLAN Olga,Female,UKR,Ukraine,,Fencing,Women's Sabre Individual,HATH,1990-09-04,1897644,,True
2024-07-29,Gold Medal,1,HEYDAROV Hidayat,Male,AZE,Azerbaijan,,Judo,Men -73 kg,HATH,1997-07-27,1972337,,True
2024-07-29,Silver Medal,2,GABA Joan-Benjamin,Male,FRA,France,,Judo,Men -73 kg,HATH,2001-01-07,1891311,,True
2024-07-29,Bronze Medal,3,OSMANOV Adil,Male,MDA,Republic of Moldova,,Judo,Men -73 kg,HATH,2000-07-02,1563437,,True
2024-07-29,Bronze Medal,3,HASHIMOTO Soichi,Male,JPN,Japan,,Judo,Men -73 kg,HATH,1991-08-24,1896740,,True
2024-07-29,Gold Medal,1,DEGUCHI Christa,Female,CAN,Canada,,Judo,Women -57 kg,HATH,1995-10-29,1955526,,True
2024-07-29,Silver Medal,2,HUH Mimi,Female,KOR,Republic of Korea,,Judo,Women -57 kg,HATH,2002-12-19,1928067,,True
2024-07-29,Bronze Medal,3,FUNAKUBO Haruka,Female,JPN,Japan,,Judo,Women -57 kg,HATH,1998-10-10,1896733,,True
2024-07-29,Bronze Medal,3,CYSIQUE Sarah Leonie,Female,FRA,France,,Judo,Women -57 kg,HATH,1998-07-06,1891286,,True
2024-07-29,Gold Medal,1,SHENG Lihao,Male,CHN,People's Republic of China,,Shooting,10m Air Rifle Men,ATH,2004-12-04,1913899,,True
2024-07-29,Silver Medal,2,LINDGREN Victor,Male,SWE,Sweden,,Shooting,10m Air Rifle Men,ATH,2003-05-16,1572919,,True
2024-07-29,Bronze Medal,3,MARICIC Miran,Male,CRO,Croatia,,Shooting,10m Air Rifle Men,ATH,1997-06-17,1888047,,True
2024-07-29,Gold Medal,1,BAN Hyojin,Female,KOR,Republic of Korea,,Shooting,10m Air Rifle Women,ATH,2007-09-20,1893845,,True
2024-07-29,Silver Medal,2,HUANG Yuting,Female,CHN,People's Republic of China,,Shooting,10m Air Rifle Women,ATH,2006-09-03,1913945,,True
2024-07-29,Bronze Medal,3,GOGNIAT Audrey,Female,SUI,Switzerland,,Shooting,10m Air Rifle Women,ATH,2002-10-30,1976545,,True
2024-07-29,Gold Medal,1,HORIGOME Yuto,Male,JPN,Japan,,Skateboarding,Men's Street,ATH,1999-01-07,1902081,,True
2024-07-29,Silver Medal,2,EATON Jagger,Male,USA,United States of America,,Skateboarding,Men's Street,ATH,2001-02-21,1944226,,True
2024-07-29,Bronze Medal,3,HUSTON Nyjah,Male,USA,United States of America,,Skateboarding,Men's Street,ATH,1994-11-30,1944232,,True
2024-07-29,Gold Medal,1,CECCON Thomas,Male,ITA,Italy,,Swimming,Men's 100m Backstroke,ATH,2001-01-27,1925635,,True
2024-07-29,Silver Medal,2,XU Jiayu,Male,CHN,People's Republic of China,,Swimming,Men's 100m Backstroke,ATH,1995-08-19,1945132,,True
2024-07-29,Bronze Medal,3,MURPHY Ryan,Male,USA,United States of America,,Swimming,Men's 100m Backstroke,ATH,1995-07-02,1935957,,True
2024-07-29,Gold Medal,1,POPOVICI David,Male,ROU,Romania,,Swimming,Men's 200m Freestyle,ATH,2004-09-15,1543549,,True
2024-07-29,Silver Medal,2,RICHARDS Matthew,Male,GBR,Great Britain,,Swimming,Men's 200m Freestyle,ATH,2002-12-17,1903617,,True
2024-07-29,Bronze Medal,3,HOBSON Luke,Male,USA,United States of America,,Swimming,Men's 200m Freestyle,ATH,2003-06-25,1935918,,True
2024-07-29,Gold Medal,1,SMITH Tatjana,Female,RSA,South Africa,,Swimming,Women's 100m Breaststroke,ATH,1997-07-09,1962589,,True
2024-07-29,Silver Medal,2,TANG Qianting,Female,CHN,People's Republic of China,,Swimming,Women's 100m Breaststroke,ATH,2004-03-14,1945200,,True
2024-07-29,Bronze Medal,3,Mc SHARRY Mona,Female,IRL,Ireland,,Swimming,Women's 100m Breaststroke,ATH,2000-08-21,1543304,,True
2024-07-29,Gold Medal,1,O'CALLAGHAN Mollie,Female,AUS,Australia,,Swimming,Women's 200m Freestyle,ATH,2004-04-02,1946218,,True
2024-07-29,Silver Medal,2,TITMUS Ariarne,Female,AUS,Australia,,Swimming,Women's 200m Freestyle,ATH,2000-09-07,1946150,,True
2024-07-29,Bronze Medal,3,HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China",,Swimming,Women's 200m Freestyle,ATH,1997-10-31,1925125,,True
2024-07-29,Gold Medal,1,McINTOSH Summer,Female,CAN,Canada,,Swimming,Women's 400m Individual Medley,ATH,2006-08-18,1967140,,True
2024-07-29,Silver Medal,2,GRIMES Katie,Female,USA,United States of America,,Swimming,Women's 400m Individual Medley,ATH,2006-01-08,1935909,,True
2024-07-29,Bronze Medal,3,WEYANT Emma,Female,USA,United States of America,,Swimming,Women's 400m Individual Medley,ATH,2001-12-24,1936001,,True
2024-07-30,Gold Medal,1,NAGASE Takanori,Male,JPN,Japan,,Judo,Men -81 kg,HATH,1993-10-14,1896765,,True
2024-07-30,Silver Medal,2,GRIGALASHVILI Tato,Male,GEO,Georgia,,Judo,Men -81 kg,HATH,1999-12-01,1546651,,True
2024-07-30,Bronze Medal,3,LEE Joonhwan,Male,KOR,Republic of Korea,,Judo,Men -81 kg,HATH,2002-06-19,1928079,,True
2024-07-30,Bronze Medal,3,MAKHMADBEKOV Somon,Male,TJK,Tajikistan,,Judo,Men -81 kg,HATH,1999-03-24,1570561,,True
2024-07-30,Gold Medal,1,LESKI Andreja,Female,SLO,Slovenia,,Judo,Women -63 kg,HATH,1997-01-08,1980833,,True
2024-07-30,Silver Medal,2,AWITI ALCARAZ Prisca,Female,MEX,Mexico,,Judo,Women -63 kg,HATH,1996-02-20,1537287,,True
2024-07-30,Bronze Medal,3,AGBEGNENOU Clarisse,Female,FRA,France,,Judo,Women -63 kg,HATH,1992-10-25,1891289,,True
2024-07-30,Bronze Medal,3,FAZLIU Laura,Female,KOS,Kosovo,,Judo,Women -63 kg,HATH,2000-09-28,1550167,,True
