code,team_gender,country_code,country,country_long,discipline,disciplines_code,events,num_athletes
ARCMTEAM3---CHN01,M,CHN,China,People's Republic of China,Archery,ARC,Men's Team,3
ARCMTEAM3---COL01,M,COL,Colombia,Colombia,Archery,ARC,Men's Team,3
ARCMTEAM3---FRA01,M,FRA,France,France,Archery,ARC,Men's Team,3
ARCMTEAM3---GBR01,M,GBR,Great Britain,Great Britain,Archery,ARC,Men's Team,3
ARCMTEAM3---IND01,M,IND,India,India,Archery,ARC,Men's Team,3
ARCMTEAM3---ITA01,M,ITA,Italy,Italy,Archery,ARC,Men's Team,3
ARCMTEAM3---JPN01,M,JPN,Japan,Japan,Archery,ARC,Men's Team,3
ARCMTEAM3---KAZ01,M,KAZ,Kazakhstan,Kazakhstan,Archery,ARC,Men's Team,3
ARCMTEAM3---KOR01,M,KOR,Korea,Republic of Korea,Archery,ARC,Men's Team,3
ARCMTEAM3---MEX01,M,MEX,Mexico,Mexico,Archery,ARC,Men's Team,3
ARCMTEAM3---TPE01,M,TPE,Chinese Taipei,Chinese Taipei,Archery,ARC,Men's Team,3
ARCMTEAM3---TUR01,M,TUR,Türkiye,Türkiye,Archery,ARC,Men's Team,3
ARCWTEAM3---CHN01,W,CHN,China,People's Republic of China,Archery,ARC,Women's Team,3
ARCWTEAM3---FRA01,W,FRA,France,France,Archery,ARC,Women's Team,3
ARCWTEAM3---GBR01,W,GBR,Great Britain,Great Britain,Archery,ARC,Women's Team,3
ARCWTEAM3---GER01,W,GER,Germany,Germany,Archery,ARC,Women's Team,3
ARCWTEAM3---INA01,W,INA,Indonesia,Indonesia,Archery,ARC,Women's Team,3
ARCWTEAM3---IND01,W,IND,India,India,Archery,ARC,Women's Team,3
ARCWTEAM3---KOR01,W,KOR,Korea,Republic of Korea,Archery,ARC,Women's Team,3
ARCWTEAM3---MAS01,W,MAS,Malaysia,Malaysia,Archery,ARC,Women's Team,3
ARCWTEAM3---MEX01,W,MEX,Mexico,Mexico,Archery,ARC,Women's Team,3
ARCWTEAM3---NED01,W,NED,Netherlands,Netherlands,Archery,ARC,Women's Team,3
ARCWTEAM3---TPE01,W,TPE,Chinese Taipei,Chinese Taipei,Archery,ARC,Women's Team,3
ARCWTEAM3---USA01,W,USA,United States,United States of America,Archery,ARC,Women's Team,3
ARCXTEAM2---AUS01,X,AUS,Australia,Australia,Archery,ARC,Mixed Team,2
